indicator,strategy_type,percentile,threshold,correlation,correlation_type,horizon,signal_accuracy,signal_count,information_gain,total_days,first_signal_time,last_signal_time,time_range_days,signal_density,signal_dispersion
transfers_volume_from_otc_desks_sum,long,80,4361.46118446,0.08825843027752064,positive,180d,0.7957610789980732,519.0,0.011547059872140775,2591,2018-11-16 00:00:00,2025-07-11 00:00:00,2430,0.21358024691358024,0.820659962973486
spot_selling_volume_sum,long,70,98345.9339730125,0.04414957444199799,positive,180d,0.7517630465444288,709.0,0.00583664363901093,2363,2019-04-02 00:00:00,2025-04-09 00:00:00,2200,0.32227272727272727,0.8952746829673882
transfers_volume_from_otc_desks_sum,long,80,4361.46118446,0.08825843027752064,positive,150d,0.7418111753371869,519.0,0.009988913268011101,2591,2018-11-16 00:00:00,2025-07-11 00:00:00,2430,0.21358024691358024,0.820659962973486
perpetuals_reference_rate,long,99,117531.26547690602,-0.07968375092144682,negative,180d,0.7398568019093079,2095.0,0.019967688289493357,2117,2019-12-01 00:00:00,2025-09-16 00:00:00,2117,0.9896079357581483,0.9997839349463006
spot_buying_volume_sum,long,60,82751.9830065331,0.048023357030669796,positive,180d,0.7375661375661375,945.0,0.0053649653070086956,2363,2019-04-02 00:00:00,2025-04-09 00:00:00,2200,0.42954545454545456,0.9290858116689166
spot_volume_sum_intraday,long,60,165814.3008154095,0.046112404165062036,positive,180d,0.7365079365079366,945.0,0.005132310968579912,2363,2019-04-02 00:00:00,2025-04-09 00:00:00,2200,0.42954545454545456,0.9291916618663072
spot_volume_daily_sum,long,60,165814.3008154095,0.046112404165062015,positive,180d,0.7365079365079366,945.0,0.005132310968579912,2363,2019-04-02 00:00:00,2025-04-09 00:00:00,2200,0.42954545454545456,0.9291916618663072
futures_funding_rate_perpetual_all,long,99,0.0007734657700640274,-0.06019955155547603,negative,180d,0.7342691190706679,2066.0,0.011047001798884626,2087,2019-12-31 00:00:00,2025-09-16 00:00:00,2087,0.9899377096310493,0.9999145089163564
options_atm_implied_volatility_6_months,short,40,59.16369025652747,-0.07029761035146423,negative,120d,0.7313432835820896,670.0,0.22431559985623828,1674,2021-02-16 00:00:00,2024-07-25 00:00:00,1256,0.5334394904458599,0.8386774728421074
futures_funding_rate_perpetual,long,99,0.0009369948464552396,-0.07301149053155578,negative,180d,0.7304476143630103,2033.0,0.01314427374522642,2054,2020-02-02 00:00:00,2025-09-16 00:00:00,2054,0.9897760467380721,0.9998628898178514
