indicator,max_rank_ic,optimal_horizon_rank,max_pearson_ic,optimal_horizon_pearson,max_ig,max_mi
active_more_10y,,60,,60,2.302584564376571,1.0
transfers_count_vanilla_relative,,1,,1,2.3025850929940455,1.0
balance_bitwise,0.9548870806692751,365,0.8703529042237587,365,1.2979689650632358,0.5642147252872854
dvol_ohlc,0.8614977828533803,730,0.7972224901403379,730,1.1356181050592498,0.49319267657665955
maker_total_vaults_created_cum,0.49406223619539424,270,0.8883804927922171,450,1.1189757830567655,0.48596589927459216
aave_v3_total_value_locked_sum,0.7115405339308757,450,0.6584354707766721,365,1.1141402273075052,0.48391088283755895
maker_total_value_locked_sum,0.9293657187167815,450,0.6073533443075233,450,1.1100849307469867,0.48210503144676475
balance_donald_trump,0.8361503197502796,450,0.7931081446925105,270,1.107588013270543,0.48103332738766785
maker_total_value_locked_sum_by_token,0.9277054619012942,450,0.5910573826559337,450,1.1057709813146452,0.48023150207154913
perpetuals_reference_rate,0.931147942098743,730,0.7635627543383336,450,1.066546829243306,0.46319650164936754
aave_v3_borrows_sum_by_token,0.7157547009957493,450,0.657685194251682,365,1.0559421873903307,0.45863339604956743
compound_total_value_locked,0.8736529515794774,730,0.4963368645455669,730,1.048703508663703,0.45544711884293126
futures_open_interest_cash_margin_sum,0.6190892983535522,730,0.653570412784248,730,1.0211942572850674,0.4434993230741549
active_validators_count,0.5493014507541207,730,0.524711683295507,730,0.9935307282040498,0.43148541004803515
epoch_height,0.549430836963876,730,0.5179940325071625,730,0.9935307282040498,0.43148541004803515
estimated_annual_issuance,0.5493014507541207,730,0.473956290447342,730,0.9935307282040498,0.43148541004803515
slot_height,0.549430836963876,730,0.5179940325071625,730,0.9935307282040498,0.43148541004803515
effective_balance_sum,0.5493944103952905,730,0.5247119700676238,730,0.9935307282040498,0.43148541004803515
estimated_annual_issuance_roi_per_validator,0.5493014507541207,730,0.6276445930744382,270,0.9925379684855233,0.4310542594836214
us_spot_etf_balances_all,0.4893739652254464,180,0.5343049590131879,180,0.9909800843613128,0.4303870254551914
