indicator,max_rank_ic,optimal_horizon_rank,max_pearson_ic,optimal_horizon_pearson,max_ig,max_mi
balance_tesla,0.7826899792795088,730,0.8794571066824957,730,0.7772351558949042,0.3375508258266584
balance_paypal,0.8224007010111075,730,0.8582681642780945,730,0.8090759259471687,0.3513772100796194
runes_count_sum,0.84306146939864,365,0.8363889180889548,365,1.1704319091879907,0.5089667348452495
dvol_ohlc,0.7899381512887652,730,0.8203573942396711,730,0.8447090223849338,0.3668524672356672
options_atm_implied_volatility_6_months,0.8268201750757924,365,0.8077044519968647,365,0.8625430256417244,0.37459986563632147
us_spot_etf_balances_all,0.6644359619771864,450,0.7961353180982196,450,0.8737492060921737,0.3794644587731782
options_atm_implied_volatility_3_months,0.8231563099924084,730,0.7921291733345761,365,0.8340310528886801,0.36221720083606923
base_fee_median,0.8449566833732876,450,0.7782788336539409,730,0.7263585616239914,0.31545650481515375
options_atm_implied_volatility_all,0.8014551325431847,450,0.766905313552507,365,0.7608166607304889,0.3304204085024942
options_atm_implied_volatility_1_month,0.7911055533395609,450,0.7491522962724628,365,0.7175122328642349,0.31161342452846275
liveliness_account_based,0.6557282798439171,365,0.7480092241257945,365,0.6049993939373812,0.26274806879435564
perpetuals_reference_rate,0.8153757824009312,450,0.7438078362181666,450,0.97028844462496,0.4213919171837511
liveliness,0.6533216235197488,365,0.7357908823100298,365,0.6284702501891539,0.27294133876272436
balance_miners_sum,0.46517857812297675,365,0.7335570006872975,365,0.6670635833773892,0.2897020998479584
balance_robinhood,0.7719921551463562,730,0.7223114778112741,730,0.8509532123530494,0.3695652336153637
fee_rate_median,0.694733420191335,730,0.7198252981538273,730,0.672419106561267,0.2920306751151806
purpose_etf_aum_sum,0.6828383402437325,730,0.7018313467995752,730,0.8311138667344677,0.36094896055168113
probably_lost,0.17109038733119478,270,0.6912319194623383,365,0.842133707456771,0.3657341061368489
options_atm_implied_volatility_1_week,0.7214849509145348,450,0.6717056555163473,450,0.5405273257654255,0.23474940679491801
balance_wisdomtree,0.54075022807068,450,0.669576361543762,450,0.9768398359229573,0.42426621935177317
