indicator,max_rank_ic,optimal_horizon_rank,max_pearson_ic,optimal_horizon_pearson,max_ig,max_mi
balance_bitwise,0.9548870806692751,365,0.8703529042237587,365,1.2979689650632358,0.5642147252872854
perpetuals_reference_rate,0.931147942098743,730,0.7635627543383336,450,1.066546829243306,0.46319650164936754
maker_total_value_locked_sum,0.9293657187167815,450,0.6073533443075233,450,1.1100849307469867,0.48210503144676475
maker_total_value_locked_sum_by_token,0.9277054619012942,450,0.5910573826559337,450,1.1057709813146452,0.48023150207154913
compound_total_value_locked,0.8736529515794774,730,0.4963368645455669,730,1.048703508663703,0.45544711884293126
marketcap_thermocap_ratio,0.8670732206372386,730,0.4623575434400459,730,0.75161070779862,0.32642064366472684
dvol_ohlc,0.8614977828533803,730,0.7972224901403379,730,1.1356181050592498,0.49319267657665955
balance_donald_trump,0.8361503197502796,450,0.7931081446925105,270,1.107588013270543,0.48103332738766785
futures_liquidated_volume_long_mean,0.8233030930315598,730,0.3682574037875645,730,0.6379857591052018,0.2770741681289079
unrealized_profit,0.8178417129903617,730,0.6884151302054823,730,0.7720331272104515,0.33528999480679056
mvrv_by_age,0.8123203757075208,730,0.5945535513723991,730,0.7845820410905695,0.3407399232119336
uniswap_fees_sum,0.7967488916219101,730,0.5342879756935693,730,0.5800371917637068,0.25190727585930467
futures_liquidated_volume_short_mean,0.7808268847592651,730,0.430972281347146,730,0.5369457148769821,0.233192959492673
uniswap_total_value_locked,0.7763060996968866,450,0.7050642797276692,730,0.807757950829521,0.35080512051550544
nupl_more_155,0.7603267638440718,730,0.5647176034358952,730,0.651706486233602,0.28303275686413837
uniswap_volume_by_token_type,0.7516453341917962,450,0.5086887971858294,270,0.5331159852923015,0.23152962858068193
uniswap_volume_by_size_cohort,0.7516453341917962,450,0.5086887971858293,270,0.5331159852923015,0.23152962858068193
aave_v3_available_liquidity_sum_by_token,0.7440166343351358,450,0.6398694020897809,365,0.8213292232361133,0.35670577685763816
compound_volume_by_action,0.7428805855886083,730,0.28796912289782617,730,0.5559970845567512,0.24146698104320596
uniswap_volume_traded_sum,0.7413848058749033,450,0.5131824090010678,730,0.5133822258500516,0.22295935471868253
